Name,Price(MXN) ,Price(USD),Link,Purpose,Qty,Price*Qty
"MGN12C, (500mm)",$393.90,$22.06,https://es.aliexpress.com/item/4000762343261.html?spm=a2g0o.productlist.main.2.59f278d7CoboAm&algo_pvid=ba98c205-64cc-484f-96e4-49f4e553cc05&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000762343261%7C_p_origin_prod%3A,X axis rails,2,$44.12
8mm linear rod(500mm)2set,$174.28,$9.76,"https://es.aliexpress.com/item/1005010479254458.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.7d6byfy3yfy3Yn&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=bfb58e6d-a375-4fe7-9ed7-3317aac5d239&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:bfb58e6d-a375-4fe7-9ed7-3317aac5d239,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010479254458%7C_p_origin_prod%3A",Y axis roda=s,1,$9.76
Leadscrew T8(500mm),$139.33,$7.80,https://es.aliexpress.com/item/4001339202095.html?spm=a2g0o.productlist.main.3.79c8510bZ1k7un&algo_pvid=e20a6e76-10e4-40a1-a384-76b3548c5bf6&pdp_ext_f=%7B%22order%22%3A%22674%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A,driver for motors,1,$7.80
Leadscrew Couplers,$34.00,$1.90,https://es.aliexpress.com/item/32823490859.html?spm=a2g0o.productlist.main.1.9e6cV6hIV6hIJa&algo_pvid=9f98f9b6-77e2-4808-8f5b-be0890a715de&pdp_ext_f=%7B%22order%22%3A%22337%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A,Holds leadscrew,2,$3.81
2060 aluminum extrusion(300mm),$241.90,$13.55,https://es.aliexpress.com/item/1005004784760394.html?spm=a2g0o.productlist.main.5.61342c33tnu14V&algo_pvid=98606c86-23e4-4a52-8d5d-77387558a315&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004784760394%7C_p_origin_prod%3A,Support y axis,1,$13.55
500W motor,$200.90,$11.25,https://es.aliexpress.com/item/4000284233325.html?spm=a2g0o.productlist.main.2.1e9874764wrynC&algo_pvid=95f11806-8764-4de8-b3e5-497b22d4d782&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000284233325%7C_p_origin_prod%3A,Allows milling,1,$11.25
10W laser,$846.30,$47.39,https://www.amazon.com.mx/Tomshin-longitud-ajustable-precisi%C3%B3n-pl%C3%A1stico/dp/B0CJMBK32S/ref=sr_1_3_sspa?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Allows etching,1,$47.39
"V slot nut 20 series, 50 pcs",$66.90,$3.75,https://es.aliexpress.com/item/1005005092717813.html?spm=a2g0o.productlist.main.2.1c525589tRhFJa&algo_pvid=829ab633-41a2-4cfc-828f-70189cd9017d&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005092717813%7C_p_origin_prod%3A,Nuts for extrusions,1,$3.75
"M4, 6mm, screws, 20pcs",$18.19,$1.02,https://www.amazon.com.mx/Tornillos-Casquillo-Avellanados-Revestimiento-Destornillador/dp/B0DX19JKZ2/ref=sr_1_15?sr=8-15,Screws,3,$3.06
MKS DLC32+Screen,$580.65,$32.52,https://es.aliexpress.com/item/1005009448334672.html?spm=a2g0o.productlist.main.2.36d1M54IM54IW5&algo_pvid=88294bcf-3fb9-452d-a467-ecd7d9c73e90&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009448334672%7C_p_origin_prod%3A,Computing module,1,$32.52
"Led strips white, 2m, 24V",$62.08,$3.48,https://es.aliexpress.com/item/1005008309283782.html?spm=a2g0o.productlist.main.2.43566a5f7hhkfr&algo_pvid=d17914ba-ddac-4ad1-985d-ce8a1c40959f&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008309283782%7C_p_origin_prod%3A#nav-review,Allows visibility,1,$3.48
End stop,$140.90,$7.89,https://es.aliexpress.com/item/1005007892716773.html?spm=a2g0o.productlist.main.7.63013c44f8ji3F&aem_p4p_detail=2025122122303494480606709880003496948&algo_pvid=6cd1d7c8-1913-4512-bb02-9d2a6cc9e815&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007892716773%7C_p_origin_prod%3A&search_p4p_id=2025122122303494480606709880003496948_3,Controls stops,1,$7.89
2020aluminum(400mm),$68.89,$3.86,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.productlist.main.2.1c3e6ab8zKbKQw&algo_pvid=1e63d49d-04b2-4c7b-ae53-56b89184959b&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002652962344%7C_p_origin_prod%3A,Stability control,1,$3.86
T8 Leadscrew nut(6pcs),$98.56,$5.52,https://es.aliexpress.com/item/1005007188421437.html?spm=a2g0o.productlist.main.7.1d2740a7W9TuS2&aem_p4p_detail=20251221224724788469091932610003566125&algo_pvid=66671aca-75ba-4abf-b647-888f04963616&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007188421437%7C_p_origin_prod%3A&search_p4p_id=20251221224724788469091932610003566125_3,Movement nut,1,$5.52
MGN12C cart,$158.80,$8.89,"https://es.aliexpress.com/item/1005004209749648.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.5c2e5Ogb5OgbaP&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=a722ecef-05c3-4db6-b9c2-7bc2fbc54d26&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:a722ecef-05c3-4db6-b9c2-7bc2fbc54d26,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005004209749648%7C_p_origin_prod%3A",for Y/Z rails,1,$8.89
SD card 8GB,$75.80,$4.24,"https://es.aliexpress.com/item/1005005494140484.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.12.3ed9T2hFT2hFD8&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=b97d94f9-83b0-41f5-8170-577988269491&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:b97d94f9-83b0-41f5-8170-577988269491,tpp_buckets:668%232846%238112%231997&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005494140484%7C_p_origin_prod%3A",To load grbl files,1,$4.24
Jst connector kit,$172.39,$9.65,https://es.aliexpress.com/item/1005010486077547.html?spm=a2g0o.productlist.main.3.3dc625f3PmcsrY&algo_pvid=aec80c52-e9c8-440b-a9bf-f6199c0565c9&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010486077547%7C_p_origin_prod%3A,connect mods,1,$9.65
2040 extrusion(400mm),$161.13,$9.02,https://es.aliexpress.com/item/1005004052485896.html?spm=a2g0o.productlist.main.2.64471f01pDLJsY&algo_pvid=f297d9ad-77f3-4372-982d-e3b9fffa45dd&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004052485896%7C_p_origin_prod%3A,Frame,2,$18.05
15180,$453.63,$25.40,https://es.aliexpress.com/item/1005007601829278.html?spm=a2g0o.productlist.main.2.3723OTurOTurLz&algo_pvid=50c300e7-4847-499c-a679-223202d89113&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007601829278%7C_p_origin_prod%3A,Bed for CNC,1,$25.40
Nema 17,$173.77,$9.73,https://es.aliexpress.com/item/1005008708427234.html?spm=a2g0o.productlist.main.14.3b172d4a9wsZUw&algo_pvid=3603bd84-1d3a-4227-9e98-62664d8414f8&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008708427234%7C_p_origin_prod%3A,Motors,3,$29.19
